"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"People's Transit","Huron","SD","80153","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","3.2128",,"0.2601",,"58.9245",,"4.771",,"12.3505",,"0",,"214675",,"825237",,"66818",,"14005",,"0",,"203919",
"Bond County, dba: Bond County Transit","Greenville","IL","50221","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","0.8808",,"0.0364",,"38.1208",,"1.5739",,"24.2201",,"0",,"23805",,"654572",,"27026",,"17171",,"0",,"234161",
"ALTRAN Transit Authority","Munising","MI","50511","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","4.816",,"0.2339",,"58.5802",,"2.8449",,"20.5916",,"0",,"252929",,"1081449",,"52519",,"18461",,"0",,"365710",
"Huntington County Council on Aging , dba: Huntington Area Transportation","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","1.4568",,"0.0549",,"36.8269",,"1.3877",,"26.5374",,"0",,"44000",,"801537",,"30204",,"21765",,"0",,"276371",
"Caro Transit Authority","Caro","MI","50224","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","2.2767",,"0.0649",,"57.4556",,"1.6366",,"35.1061",,"0",,"100350",,"1547338",,"44076",,"26931",,"0",,"270841",
"Sunflower-Humphreys Counties Progress, Inc.",,"MS","44978","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","16.3589",,"0.4236",,"30.713",,"0.7952",,"38.6224",,"0",,"310884",,"733980",,"19004",,"23898",,"0",,"503368",
"Olympia Trails Bus Company, Inc., dba: Coach USA","Elizabeth","NJ","20165","Private-For-Profit Corporation","Reduced Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","15","CB","Commuter Bus","DO","15","12.8716",,"1",,"171.6361",,"13.3345",,"12.8716",,"0",,"4756207",,"4756207",,"369513",,"27711",,"0",,"286014",
"Region Six Planning Commission, dba: Peoplerides","Marshalltown","IA","70219","MPO, COG or Other Planning Agency","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","15.8653",,"0.5075",,"64.443",,"2.0614",,"31.2617",,"0",,"562456",,"1108290",,"35452",,"17198",,"0",,"197306",
"Kendall County, dba: Kendall Area Transit","Yorkville","IL","50352","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","2.8474",,"0.0548",,"73.4364",,"1.413",,"51.972",,"0",,"79104",,"1443833",,"27781",,"19661",,"0",,"302591",
"City of Aberdeen, dba: Ride Line Transportation Services","Aberdeen","SD","80126","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","1.971",,"0.1299",,"36.7133",,"2.4205",,"15.1676",,"0",,"109593",,"843379",,"55604",,"22972",,"0",,"167802",
"McCormick County Senior Center, dba: MAT Transit","Mc Cormick","SC","41042","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","15.8206",,"0.5634",,"41.4858",,"1.4774",,"28.0797",,"0",,"598653",,"1062534",,"37840",,"25612",,"0",,"419368",
"Lenoir County","Kinston","NC","41162","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","2.6219",,"0.1173",,"54.5813",,"2.4424",,"22.3472",,"0",,"173231",,"1476478",,"66070",,"27051",,"0",,"697225",
"Linn County, dba: LIFTS","Cedar Rapids","IA","70277","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","14752","Cedar Rapids, IA","192844","15","DR","Demand Response","DO","15","1.5696",,"0.0308",,"100.3692",,"1.9681",,"50.997",,"0",,"56333",,"1830233",,"35889",,"18235",,"0",,"194685",
"City of Alma","Alma","MI","50492","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","1.2927",,"0.0793",,"64.8809",,"3.9817",,"16.2946",,"0",,"102364",,"1290351",,"79189",,"19888",,"0",,"310389",
"City of San Luis Obispo, dba: SLO Transit","San Luis Obispo","CA","90156","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79147","San Luis Obispo, CA","56904","15","MB","Bus","PT","15","1.5727",,"0.2276",,"116.0247",,"16.7936",,"6.9089",,"2.0719",,"809970",,"3558247",,"515025",,"30668",,"1717369",,"312796",
"Mississippi Valley State University","Itta Bena","MS","41024","University","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","15","0.06",,"0.0034",,"87.8454",,"4.9096",,"17.8926",,"0",,"2069",,"616938",,"34480",,"7023",,"0",,"157789",
"South Central Regional Transit District","Anthony","NM","66283","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2023","47935","Las Cruces, NM","139338","15","MB","Bus","DO","15","0.4348",,"0.0238",,"69.2421",,"3.7911",,"18.2646",,"0",,"44184",,"1856172",,"101627",,"26807",,"0",,"441656",
"Cortland County, dba: Way to Go Cortland","Cortland","NY","20958","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","MB","Bus","PT","13","1.0592",,"0.0417",,"114.062",,"4.4944",,"25.3789",,"0",,"87345",,"2092923",,"82467",,"18349",,"0",,"323139",
"City of Cleburne","Cleburne","TX","60113","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","15","DR","Demand Response","DO","13","2.4812",,"0.038",,"90.6641",,"1.3879",,"65.3261",,"0",,"52853",,"1391512",,"21301",,"15348",,"0",,"226731",
"Nantucket Regional Transit Authority","Nantucket","MA","10162","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"15","MB","Bus","PT","13","2.5281",,"0.1842",,"119.7417",,"8.7253",,"13.7235",,"0",,"611041",,"3316964",,"241700",,"27701",,"0",,"305641",
"City of Carlsbad, dba: Carlsbad Municipal Transit System","Carlsbad","NM","60184","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","12","1.9557",,"0.0651",,"46.7487",,"1.5566",,"30.0333",,"0",,"41897",,"643403",,"21423",,"13763",,"0",,"101223",
"City of McAllen , dba: Metro McAllen","Mcallen","TX","60099","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","52390","McAllen, TX","779553","15","MB","Bus","DO","12","0.4852",,"0.0698",,"101.9275",,"14.6557",,"6.9548",,"0",,"286343",,"4104721",,"590201",,"40271",,"0",,"510440",
"Western-Washtenaw Area Value Express","Dexter","MI","55322","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","11","3.1216",,"0.0553",,"70.5268",,"1.249",,"56.4649",,"0",,"47564",,"860356",,"15237",,"12199",,"0",,"141519",
"Ashtabula County Transportation System","Jefferson","OH","50390","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","PT","11","0.7456",,"0.0221",,"71.8856",,"2.1294",,"33.7592",,"0",,"25933",,"1174180",,"34781",,"16334",,"0",,"274875",
"Webb County, dba: El Aguila Rural Transit","Laredo","TX","60185","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","MB","Bus","DO","11","1.3002",,"0.062",,"70.1299",,"3.3461",,"20.9586",,"0",,"54000",,"870452",,"41532",,"12412",,"0",,"198877",
"City of Vacaville, dba: City Coach","Vacaville","CA","90155","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","89866","Vacaville, CA","101027","15","MB","Bus","PT","10","0.6334",,"0.081",,"100.2979",,"12.8184",,"7.8245",,"0",,"163949",,"2025216",,"258829",,"20192",,"0",,"265713",
"Okanogan County Transit Authority, dba: TranGO","Okanogan","WA","00405","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"15","MB","Bus","DO","10","1.0632",,"0.0166",,"166.2417",,"2.5991",,"63.962",,"0",,"45159",,"2716722",,"42474",,"16342",,"0",,"446324",
"City of South Gate","South Gate","CA","90291","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","15","DR","Demand Response","TX","9","2.2142",,"0.0982",,"66.5327",,"2.95",,"22.5535",,"0",,"51988",,"529534",,"23479",,"7959",,"0",,"116358",
"City of Simi Valley, dba: Simi Valley Transit","Simi Valley","CA","90050","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","82144","Simi Valley, CA","127364","15","DR","Demand Response","DO","9","1.4532",,"0.028",,"264.174",,"5.0864",,"51.937",,"0",,"66021",,"2359602",,"45432",,"8932",,"0",,"127077",
"Lancaster Public Transit System, dba: Lancaster-Fairfield Public Transit","Lancaster","OH","50406","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","19234","Columbus, OH","1567254","15","DR","Demand Response","DO","9","0.9463",,"0.0372",,"75.3913",,"2.9602",,"25.468",,"0",,"37976",,"1022005",,"40129",,"13556",,"0",,"229610",
"City of Downey","Downey","CA","90263","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","15","DR","Demand Response","PT","8","0",,"0",,"208.2836",,"2.4019",,"86.7173",,"0",,"0",,"1025172",,"11822",,"4922",,"0",,"40311",
"City of Independence","Independence","MO","70046","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","43912","Kansas City, MO--KS","1674218","15","MB","Bus","PT","7","0",,"0",,"107.4347",,"16.6452",,"6.4544",,"0",,"0",,"1662229",,"257535",,"15472",,"0",,"232722",
"City of Downey","Downey","CA","90263","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","15","MB","Bus","PT","7","0",,"0",,"115.043",,"7.3355",,"15.683",,"0",,"0",,"1179881",,"75233",,"10256",,"0",,"101069",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","03817","Atlanta, GA","5100112","15","DR","Demand Response","DO","7","0","W","0",,"157.411","W","5.2699","W","29.8697","W","2.891",,"0",,"371490",,"12437","W","2360","W","128500",,"48623","W"
"Franklin County , dba: Franklin County Public Transportation","Malone","NY","20992","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","MB","Bus","PT","7","3.5585",,"0.1295",,"88.9679",,"3.2388",,"27.4697",,"0",,"84618",,"653202",,"23779",,"7342",,"0",,"200922",
"Lancaster Public Transit System, dba: Lancaster-Fairfield Public Transit","Lancaster","OH","50406","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","19234","Columbus, OH","1567254","15","MB","Bus","DO","6","0.4066",,"0.0299",,"65.3171",,"4.8105",,"13.5779",,"0",,"35926",,"1199745",,"88360",,"18368",,"0",,"205428",
"City of South Gate","South Gate","CA","90291","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","15","MB","Bus","PT","6","0.2268",,"0.0195",,"92.5927",,"7.9777",,"11.6064",,"0",,"18035",,"923057",,"79530",,"9969",,"0",,"114106",
"City of Simi Valley, dba: Simi Valley Transit","Simi Valley","CA","90050","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","82144","Simi Valley, CA","127364","15","MB","Bus","DO","6","1.2361",,"0.0381",,"193.751",,"5.9795",,"32.4027",,"0",,"199507",,"5229922",,"161404",,"26993",,"0",,"401305",
"Franklin County , dba: Franklin County Public Transportation","Malone","NY","20992","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","PT","6","2.1715",,"0.2383",,"93.8306",,"10.2958",,"9.1135",,"0",,"73243",,"307389",,"33729",,"3276",,"0",,"125748",
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","34516","Grants Pass, OR","55724","15","MB","Bus","DO","5","0.4931",,"0.0314",,"108.4828",,"6.9044",,"15.712",,"0",,"42579",,"1356686",,"86347",,"12506",,"0",,"186897",
"Okanogan County Transit Authority, dba: TranGO","Okanogan","WA","00405","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"15","VP","Vanpool","DO","5","4.5814",,"1.4507",,"17.6758",,"5.5969",,"3.1582",,"0",,"42873",,"29554",,"9358",,"1672",,"0",,"85395",
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","34516","Grants Pass, OR","55724","15","DR","Demand Response","DO","5","1.5226",,"0.0252",,"106.9298",,"1.7694",,"60.4316",,"0",,"21384",,"848702",,"14044",,"7937",,"0",,"90276",
"City of Vacaville, dba: City Coach","Vacaville","CA","90155","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","89866","Vacaville, CA","101027","15","DR","Demand Response","PT","5","1.2567",,"0.026",,"121.786",,"2.5245",,"48.2422",,"0",,"24117",,"925817",,"19191",,"7602",,"0",,"100480",
"Josephine County, dba: Josephine Community Transit","Grants Pass","OR","00059","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","34516","Grants Pass, OR","55724","15","CB","Commuter Bus","DO","5","1.3715",,"0.0239",,"187.3623",,"3.259",,"57.4903",,"0",,"36411",,"1526253",,"26548",,"8146",,"0",,"250403",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","03817","Atlanta, GA","5100112","15","MB","Bus","PT","5","1.377",,"0.0168",,"110.2635",,"1.345",,"81.9807",,"14.9722",,"37325",,"2222251",,"27107",,"20154",,"148425",,"327117",
"Webb County, dba: El Aguila Rural Transit","Laredo","TX","60185","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","DO","4","1.01",,"0.0201",,"63.754",,"1.2702",,"50.1918",,"0",,"3333",,"165633",,"3300",,"2598",,"0",,"49508",
"City of Independence","Independence","MO","70046","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","43912","Kansas City, MO--KS","1674218","15","DR","Demand Response","TX","4","0",,"0",,"120.3624",,"2.1232",,"56.688",,"0",,"0",,"428731",,"7563",,"3562",,"0",,"36726",
"Ashtabula County Transportation System","Jefferson","OH","50390","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","MB","Bus","PT","4","0.8118",,"0.0424",,"65.1707",,"3.4075",,"19.1257",,"0",,"16984",,"400148",,"20922",,"6140",,"0",,"74119",
"Western-Washtenaw Area Value Express","Dexter","MI","55322","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"15","MB","Bus","DO","4","0.2706",,"0.0044",,"66.9738",,"1.0999",,"60.8924",,"0",,"3683",,"828868",,"13612",,"12376",,"0",,"155657",
"City of Independence","Independence","MO","70046","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","43912","Kansas City, MO--KS","1674218","15","DR","Demand Response","PT","4","0",,"0",,"85.3117",,"1.5451",,"55.2134",,"0",,"0",,"356347",,"6454",,"4177",,"0",,"49526",
"City of Carlsbad, dba: Carlsbad Municipal Transit System","Carlsbad","NM","60184","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","MB","Bus","DO","3","0.4886",,"0.0158",,"35.3062",,"1.144",,"30.863",,"0",,"3665",,"231503",,"7501",,"6557",,"0",,"63572",
"City of McAllen , dba: Metro McAllen","Mcallen","TX","60099","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","52390","McAllen, TX","779553","15","DR","Demand Response","DO","3","0.4216",,"0.0144",,"60.4382",,"2.0615",,"29.3172",,"0",,"5594",,"388980",,"13268",,"6436",,"0",,"78310",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","03817","Atlanta, GA","5100112","15","DR","Demand Response","PT","3","0.6228",,"0.0081",,"106.4366",,"1.3892",,"76.6195",,"13.903",,"6432",,"791250",,"10327",,"7434",,"56912",,"91399",
"City of Cleburne","Cleburne","TX","60113","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","15","CB","Commuter Bus","DO","2","1.1919",,"0.0039",,"148.7484",,"0.4879",,"304.8913",,"0",,"1031",,"263731",,"865",,"1773",,"0",,"46976",
"Cortland County, dba: Way to Go Cortland","Cortland","NY","20958","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","DR","Demand Response","PT","2","3.2588",,"0.0556",,"201.6511",,"3.4424",,"58.5792",,"0",,"3601",,"64730",,"1105",,"321",,"0",,"5789",
"Franklin County , dba: Franklin County Public Transportation","Malone","NY","20992","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"15","CB","Commuter Bus","PT","2","2.8934",,"0.0864",,"180.328",,"5.3819",,"33.5066",,"0",,"28341",,"328197",,"9795",,"1820",,"0",,"84102",
"Nantucket Regional Transit Authority","Nantucket","MA","10162","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"15","DR","Demand Response","PT","2","1.5795",,"0.0111",,"249.0896",,"1.7532",,"142.0749",,"0",,"3647",,"328051",,"2309",,"1317",,"0",,"10109",
"City of Davenport, dba: Davenport Citibus","Davenport","IA","70009","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","22366","Davenport, IA--IL","285211","14","MB","Bus","DO","14","0.8447",,"0.0502",,"157.0117",,"9.339",,"16.8124",,"0",,"331015",,"6588368",,"391875",,"41961",,"0",,"581604",
"St. James Parish Government","Convent","LA","60222","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","0.3522",,"0.0118",,"52.1711",,"1.7428",,"29.9347",,"0",,"11534",,"980242",,"32746",,"18789",,"0",,"302697",
"LifeStream Services , dba: The New Interurban","Yorktown","IN","50307","Area Agency on Aging","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","3.6456",,"0.0938",,"55.5235",,"1.4284",,"38.8711",,"0",,"121018",,"1290366",,"33196",,"23240",,"0",,"271937",
"Albemarle Regional Health Services, dba: Inter-County Public Transportation Authority","Elizabeth City","NC","41111","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","0",,"0",,"62.8407",,"2.2601",,"27.8044",,"0",,"0",,"1992992",,"71679",,"31715",,"0",,"645381",
"Pointe Coupee Parish Government","New Roads","LA","60135","Area Agency on Aging","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","9.2507",,"0.3328",,"40.1925",,"1.4458",,"27.7994",,"0",,"208539",,"626681",,"22543",,"15592",,"0",,"287567",
"Midland Area Agency , dba: Midland Public Transit","Hastings","NE","70073","Area Agency on Aging","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","5.5519",,"0.1113",,"80.5748",,"1.616",,"49.862",,"0",,"56907",,"511086",,"10250",,"6343",,"0",,"124147",
"Mid Iowa Development Association Council of Governments, dba: MIDAS Council of Governments","Fort Dodge","IA","70256","MPO, COG or Other Planning Agency","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","0.9932",,"0.0808",,"68.2626",,"5.554",,"12.2908",,"0",,"87822",,"1086740",,"88419",,"15920",,"0",,"165978",
"Alabama Tombigbee Regional Planning Commission","Camden","AL","41084","MPO, COG or Other Planning Agency","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","0.3859",,"0.0218",,"73.2065",,"4.1334",,"17.7109",,"0",,"21244",,"975037",,"55053",,"13319",,"0",,"180770",
"Salem County, dba: SCOOT Transportation","Salem","NJ","20944","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","PT","14","0",,"0",,"70.641",,"1.7055",,"41.4205",,"0",,"0",,"714463",,"17249",,"10114",,"0",,"266469",
"Henry County, dba: Henry County Public Transportation","Cambridge","IL","50301","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","1.3435",,"0.0886",,"43.6052",,"2.876",,"15.1617",,"0",,"58214",,"656956",,"43330",,"15066",,"0",,"302298",
"South Lake County Community Services, Inc., dba: Lake County Community Services, Inc","Crown Point","IN","50167","Private-Non-Profit Corporation","Reduced Reporter","2023","16264","Chicago, IL--IN","8671746","14","DR","Demand Response","DO","14","2.7349",,"0.0898",,"43.6397",,"1.4324",,"30.4651",,"0",,"103926",,"1157673",,"38000",,"26528",,"0",,"297353",
"Columbus County","Whiteville","NC","41172","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","PT","14","0.7002",,"0.0145",,"65.4746",,"1.3526",,"48.4074",,"0",,"18640",,"1288605",,"26620",,"19681",,"0",,"409116",
"Texoma Area Paratransit System, Inc","Sherman","TX","60107","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","81631","Sherman--Denison, TX","66691","14","DR","Demand Response","PT","14","1.2845",,"0.0159",,"141.0229",,"1.7457",,"80.7853",,"7.1674",,"44078",,"2772228",,"34316",,"19658",,"386785",,"386783",
"Sawyer County/LCO Transit Commission, dba: Namekagon Transit","Hayward","WI","50507","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","4.752",,"0.1706",,"49.831",,"1.7885",,"27.8624",,"0",,"294825",,"1728637",,"62042",,"34690",,"0",,"596545",
"Helena, City of, dba: Capital Transit","Helena","MT","80137","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","38161","Helena, MT","52380","14","DR","Demand Response","DO","14","0.5816",,"0.0182",,"111.6823",,"3.5038",,"31.875",,"0",,"31739",,"1739452",,"54571",,"15575",,"0",,"172453",
"Otsego County Board of Commissioners","Gaylord","MI","50340","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","1.9153",,"0.0587",,"68.6022",,"2.1037",,"32.611",,"0",,"78051",,"1328962",,"40752",,"19372",,"0",,"233828",
"City of Freeport, dba: Pretzel Area Transit","Freeport","IL","50412","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","1.4789",,"0.0655",,"71.8735",,"3.1849",,"22.5668",,"0",,"73303",,"1118567",,"49567",,"15563",,"0",,"219087",
"Southwestern Pennsylvania Commission, dba: CommuteInfo","Pittsburgh","PA","30078","MPO, COG or Other Planning Agency","Full Reporter","2023","69697","Pittsburgh, PA","1745039","14","VP","Vanpool","PT","14","6.881",,"0.4543",,"75.69",,"4.9975",,"15.1455",,"0.4429",,"152545",,"335761",,"22169",,"4436",,"758063",,"197070",
"Calhoun County Senior Citizens Association, Inc.","Blountstown","FL","41091","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","0.7761",,"0.009",,"83.6604",,"0.9693",,"86.3059",,"0",,"8860",,"985268",,"11416",,"11777",,"0",,"201601",
"Piatt County","Monticello","IL","50425","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","2.4732",,"0.037",,"97.935",,"1.4652",,"66.8414",,"0",,"46108",,"1246125",,"18643",,"12724",,"0",,"282985",
"Sitting Bull College","Fort Yates","ND","88140","Tribe","Reduced Reporter","2023","00038","North Dakota Non-UZA","403127","14","DR","Demand Response","DO","14","2.3568",,"0.0301",,"150.2188",,"1.9207",,"78.2102",,"0",,"37449",,"1242760",,"15890",,"8273",,"0",,"197518",
"Thomas County, dba: Thomas County Area Transit (TCAT)","Thomasville","GA","41185","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","0.5035",,"0.0212",,"66.2325",,"2.7834",,"23.7952",,"0",,"27408",,"1295242",,"54433",,"19556",,"0",,"302272",
"Lower Chattahoochee Regional Transit Authority, dba: Pataula Transit","Morris","GA","41108","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"14","DR","Demand Response","PT","14","1.1696",,"0.0224",,"55.8759",,"1.0703",,"52.2066",,"0",,"29494",,"1316493",,"25217",,"23561",,"0",,"562308",
"Senior Citizen Industries, dba: Central Ride Agency of Nebraska","Grand Island","NE","70052","Private-Non-Profit Corporation","Reduced Reporter","2023","34246","Grand Island, NE","55099","14","DR","Demand Response","DO","14","1.9069",,"0.0948",,"56.8481",,"2.8253",,"20.1214",,"0",,"117676",,"1241734",,"61712",,"21843",,"0",,"185662",
"RTS Wyoming","Rochester","NY","20980","Independent Public Agency or Authority of Transit Service","Rural Reporter","2023",,,,"14","MB","Bus","DO","14","0.4642",,"0.0123",,"125.0326",,"3.32",,"37.6607",,"0",,"22271",,"1806846",,"47977",,"14451",,"0",,"307023",
"City of West Bend, dba: City of West Bend Shared-Ride Taxi","West Bend","WI","50202","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","00055","Wisconsin Non-UZA","2782206","14","DR","Demand Response","PT","14","5.5723",,"0.3286",,"35.5534",,"2.0964",,"16.9592",,"0",,"419623",,"1277112",,"75305",,"35921",,"0",,"306426",
"Jersey County","Jerseyville","IL","55316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","1.9635",,"0.068",,"64.6934",,"2.2397",,"28.8848",,"0",,"59131",,"869867",,"30115",,"13446",,"0",,"299496",
"Iowa Northland Regional Council of Governments, dba: Iowa Northland Regional Transportation Authority","Waterloo","IA","70064","MPO, COG or Other Planning Agency","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","15.9198",,"0.3383",,"109.9033",,"2.3358",,"47.0516",,"0",,"521563",,"1541504",,"32762",,"14026",,"0",,"338074",
"Public Transit Services","Mineral Wells","TX","60115","Other Publicly-Owned or Privately Chartered Corporation","Reduced Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","14","DR","Demand Response","DO","14","1.2126",,"0.0346",,"74.9079",,"2.1404",,"34.9965",,"0",,"68085",,"1964985",,"56148",,"26232",,"0",,"547289",
"York County Community Action Corporation","Sanford","ME","10099","Private-Non-Profit Corporation","Reduced Reporter","2023","71506","Portsmouth, NH--ME","95090","14","DR","Demand Response","DO","14","0",,"0",,"175.0276",,"4.3407",,"40.3223",,"0",,"0",,"2844898",,"70554",,"16254",,"0",,"313637",
"Chenango County, dba: Chenango County Transit System","Norwich","NY","20935","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","MB","Bus","DO","14","0.4399",,"0.0064",,"109.9065",,"1.6019",,"68.6103",,"0",,"14941",,"2330348",,"33965",,"21203",,"0",,"421123",
"Carroll County, dba: Carroll County Transit","Mount Carroll","IL","50234","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"14","DR","Demand Response","DO","14","7.0966",,"0.2311",,"52.3572",,"1.7051",,"30.7061",,"0",,"189288",,"819024",,"26673",,"15643",,"0",,"397412",
